#(T,k) [K x 1/s]
r_cte = 8.314 [J/(mol.K)]
n_pts = 20
3.00000e+02 6.43689e-01
3.10526e+02 6.69422e-01
3.21053e+02 6.71332e-01
3.31579e+02 6.77379e-01
3.42105e+02 6.81988e-01
3.52632e+02 6.89000e-01
3.63158e+02 6.88870e-01
3.73684e+02 7.11933e-01
3.84211e+02 6.61354e-01
3.94737e+02 6.84209e-01
4.05263e+02 7.28646e-01
4.15789e+02 7.34449e-01
4.26316e+02 6.98972e-01
4.36842e+02 6.96792e-01
4.47368e+02 6.97528e-01
4.57895e+02 7.36627e-01
4.68421e+02 7.49968e-01
4.78947e+02 7.00843e-01
4.89474e+02 7.45032e-01
5.00000e+02 7.32103e-01
